# id	length	x	y	z	rot_z	rot_y	rot_x
143	0.33	0.0	0.0	0	0	0	0
142	0.33	1.0	0.0	0	0	0	0
147	0.33	2.0	0.0	0	0	0	0
128	0.33	3.0	0.0	0	0	0	0
144	0.33	0.0	1.0	0	0	0	0
157	0.33	1.0	1.0	0	0	0	0
158	0.33	2.0	1.0	0	0	0	0
125	0.33	3.0	1.0	0	0	0	0
145	0.33	0.0	2.0	0	0	0	0
146	0.33	1.0	2.0	0	0	0	0
127	0.33	2.0	2.0	0	0	0	0
126	0.33	3.0	2.0	0	0	0	0
138	0.33	0.0	3.0	0	0	0	0
#25	0.33	1.0	3.0	0	0	0	0
160	0.33	2.0	3.0	0	0	0	0
155	0.33	3.0	3.0	0	0	0	0
139	0.33	0.0	4.0	0	0	0	0
148	0.33	1.0	4.0	0	0	0	0
156	0.33	2.0	4.0	0	0	0	0
159	0.33	3.0	4.0	0	0	0	0
